id;code;is_assigned;is_active;create_method
1;d5743b79-06b8-493f-a850-da2df9023b7c;false;true;BULK
2;91e26fde-1def-4e0b-9e29-afabe3b686a1;true;true;BULK
3;722a3585-73e0-4cd8-a825-6207ba8d7c23;false;false;BULK
4;fc7cc2c2-93f7-4b91-b8fb-5a31ffc21d31;false;true;MANUAL
5;1112ef19-7b3b-4fc6-8278-d1094dbaf663;true;true;MANUAL
6;85e8d359-b6be-4d88-a1f7-6d6d9e0e5470;false;true;MANUAL
7;cd9198a8-317d-495a-af75-69636c23e446;false;false;BULK
8;bb950268-edde-419e-8320-6f29f45602df;true;false;MANUAL
9;d6b332cc-d35d-4693-b860-d9497980194f;true;true;MANUAL
10;69cc51a3-6f37-4f98-a5b5-73c9a61a3638;true;true;BULK
